Protocol,Name,Command,Package Name,Package AppName,Package App Description,IsMicrosoft
"ms-powerautomate://","ms-powerautomate","C:\Program Files\WindowsApps\Microsoft.PowerAutomateDesktop_11.2409.203.0_x64__8wekyb3d8bbwe\PAD.Console.Host.exe","Microsoft.PowerAutomateDesktop","Power Automate","Power Automate",True
"ms-powerautomatedesigner://","ms-powerautomatedesigner","C:\Program Files\WindowsApps\Microsoft.PowerAutomateDesktop_11.2409.203.0_x64__8wekyb3d8bbwe\PAD.Designer.exe","Microsoft.PowerAutomateDesktop","Power Automate Designer","Power Automate Designer",True
"ms-powerpoint://","PowerPoint Protocol","C:\Program Files\Microsoft Office\Root\Office16\protocolhandler.exe ""%1""","","","",True
"ms-print-addprinter://","ms-print-addprinter","C:\Windows\PrintDialog\PrintDialog.exe","Windows.PrintDialog","ms-resource:DisplayName","ms-resource:Description",True
"ms-print-printjobs://","ms-print-printjobs","C:\Windows\PrintDialog\PrintDialog.exe","Windows.PrintDialog","ms-resource:DisplayName","ms-resource:Description",True
"ms-print-queue://","ms-print-queue","C:\Windows\SystemApps\Microsoft.Windows.PrintQueueActionCenter_cw5n1h2txyewy\PrintQueueActionCenter.exe","Microsoft.Windows.PrintQueueActionCenter","ms-resource:AppxManifest_DisplayName","ms-resource:AppxManifest_Description",True
"ms-projection://","ms-projection","C:\Windows\SystemApps\Microsoft.PPIProjection_cw5n1h2txyewy\Receiver.exe","Microsoft.PPIProjection","ms-resource:ProductNameWindowsStore","ms-resource:ProductDescriptionWindowsStore",True
"ms-publisher://","Publisher Protocol","C:\Program Files\Microsoft Office\Root\Office16\protocolhandler.exe ""%1""","","","",True
"ms-quick-assist://","ms-quick-assist","C:\Program Files\WindowsApps\MicrosoftCorporationII.QuickAssist_2.0.19.0_x64__8wekyb3d8bbwe\Microsoft.RemoteAssistance.QuickAssist\QuickAssist.exe","MicrosoftCorporationII.QuickAssist","ms-resource://MicrosoftCorporationII.QuickAssist/resources/APP_WINDOW_NAME","ms-resource://MicrosoftCorporationII.QuickAssist/resources/APP_WINDOW_NAME",True
"ms-rdx-document://","","C:\WINDOWS\system32\rundll32.exe C:\WINDOWS\system32\RDXService,OpenRDXDocument %1","","","",True
"ms-retaildemo-launchbioenrollment://","ms-retaildemo-launchbioenrollment","","","","",True
"ms-retaildemo-launchstart://","ms-retaildemo-launchstart","","","","",True
"ms-screenclip://","","C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2407.3.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\ScreenClippingHost.exe","Microsoft.ScreenSketch MicrosoftWindows.Client.CBS","ms-resource:AppName/Text ms-resource:ScreenClippingAppName/Text","ms-resource:AppDescription ms-resource:ScreenClippingDescription",True True
"ms-screensketch://","ms-screensketch","C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2407.3.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe","Microsoft.ScreenSketch","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-search://","ms-search","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","MicrosoftWindows.Client.CBS","ms-resource:Cortana.UI/Resources/TileDisplayName","ms-resource:Cortana.UI/Resources/Description",True
"ms-settings://","ms-settings","","","","",True
"ms-settings-airplanemode://","ms-settings-airplanemode","","","","",True
"ms-settings-bluetooth://","ms-settings-bluetooth","","","","",True
"ms-settings-cellular://","ms-settings-cellular","","","","",True
"ms-settings-connectabledevices://","Devices Flow Connectable Devices Protocol","""C:\WINDOWS\system32\LaunchWinApp.exe"" ""%1""","","","",True
